===============================================================================
Id,backtest-ma-orcl-1995-2014,len,datetime,open,high,low,close,volume,openinterest,adjclose,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
70,backtest-ma-orcl-1995-2014,70,2000-04-11 23:59:59.999989,35.66,36.3,34.16,34.41,79802818.0,0.0,34.41214,TestStrategy,70,730221.9999999999,Broker,70,716.6999999999998,1060.7999999999997,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,backtest-ma-orcl-1995-2014,71,2000-04-12 23:59:59.999989,34.66,35.58,32.44,32.52,75473554.0,0.0,32.521992,TestStrategy,71,730222.9999999999,Broker,71,1063.2999999999997,1063.2999999999997,BuySell,71,,36.113699999999994,Trades - Net Profit/Loss,71,,-25.600000000000023
72,backtest-ma-orcl-1995-2014,72,2000-04-13 23:59:59.999989,33.3,34.47,31.91,31.99,71059570.0,0.0,31.993855,TestStrategy,72,730223.9999999999,Broker,72,1063.2999999999997,1063.2999999999997,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,backtest-ma-orcl-1995-2014,73,2000-04-14 23:59:59.999989,31.1,31.7,26.8,27.8,123611717.0,0.0,27.796566,TestStrategy,73,730224.9999999999,Broker,73,1063.2999999999997,1063.2999999999997,BuySell,73,,,Trades - Net Profit/Loss,73,,
74,backtest-ma-orcl-1995-2014,74,2000-04-17 23:59:59.999989,26.91,33.3,26.76,33.27,129630227.0,0.0,33.272488,TestStrategy,74,730227.9999999999,Broker,74,1063.2999999999997,1063.2999999999997,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,backtest-ma-orcl-1995-2014,75,2000-04-18 23:59:59.999989,33.61,35.16,32.8,35.11,88521256.0,0.0,35.107071,TestStrategy,75,730228.9999999999,Broker,75,1063.2999999999997,1063.2999999999997,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,backtest-ma-orcl-1995-2014,76,2000-04-19 23:59:59.999989,34.97,35.39,33.02,33.16,51922110.0,0.0,33.161301,TestStrategy,76,730229.9999999999,Broker,76,713.5999999999997,1045.1999999999996,BuySell,76,32.5247,,Trades - Net Profit/Loss,76,,
77,backtest-ma-orcl-1995-2014,77,2000-04-20 23:59:59.999989,32.83,33.58,31.08,31.49,56659185.0,0.0,31.493519,TestStrategy,77,730230.9999999999,Broker,77,1041.8999999999996,1041.8999999999996,BuySell,77,,34.08369999999999,Trades - Net Profit/Loss,77,,-21.400000000000006
78,backtest-ma-orcl-1995-2014,78,2000-04-24 23:59:59.999989,29.96,32.33,29.8,32.22,67145890.0,0.0,32.216217,TestStrategy,78,730234.9999999999,Broker,78,1041.8999999999996,1041.8999999999996,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,backtest-ma-orcl-1995-2014,79,2000-04-25 23:59:59.999989,33.3,33.97,32.3,33.61,69437766.0,0.0,33.606045,TestStrategy,79,730235.9999999999,Broker,79,1041.8999999999996,1041.8999999999996,BuySell,79,,,Trades - Net Profit/Loss,79,,
80,backtest-ma-orcl-1995-2014,80,2000-04-26 23:59:59.999989,33.86,34.61,31.6,32.11,53726042.0,0.0,32.105045,TestStrategy,80,730236.9999999999,Broker,80,1041.8999999999996,1041.8999999999996,BuySell,80,,,Trades - Net Profit/Loss,80,,
81,backtest-ma-orcl-1995-2014,81,2000-04-27 23:59:59.999989,31.16,34.5,31.1,34.38,58574017.0,0.0,34.384346,TestStrategy,81,730237.9999999999,Broker,81,1041.8999999999996,1041.8999999999996,BuySell,81,,,Trades - Net Profit/Loss,81,,
82,backtest-ma-orcl-1995-2014,82,2000-04-28 23:59:59.999989,34.91,35.58,34.75,35.55,46876964.0,0.0,35.551811,TestStrategy,82,730238.9999999999,Broker,82,692.7999999999997,1048.2999999999997,BuySell,82,34.22875,,Trades - Net Profit/Loss,82,,
83,backtest-ma-orcl-1995-2014,83,2000-05-01 23:59:59.999989,35.52,36.41,35.02,35.44,41701871.0,0.0,35.44062,TestStrategy,83,730241.9999999999,Broker,83,692.7999999999997,1047.1999999999998,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,backtest-ma-orcl-1995-2014,84,2000-05-02 23:59:59.999989,35.11,35.36,34.41,34.61,39731748.0,0.0,34.606728,TestStrategy,84,730242.9999999999,Broker,84,692.7999999999997,1038.8999999999996,BuySell,84,,,Trades - Net Profit/Loss,84,,
85,backtest-ma-orcl-1995-2014,85,2000-05-03 23:59:59.999989,34.19,34.3,32.08,33.72,55765874.0,0.0,33.717239,TestStrategy,85,730243.9999999999,Broker,85,692.7999999999997,1029.9999999999998,BuySell,85,,,Trades - Net Profit/Loss,85,,
86,backtest-ma-orcl-1995-2014,86,2000-05-04 23:59:59.999989,33.49,34.22,32.47,33.02,44856920.0,0.0,33.022331,TestStrategy,86,730244.9999999999,Broker,86,692.7999999999997,1022.9999999999998,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,backtest-ma-orcl-1995-2014,87,2000-05-05 23:59:59.999989,32.91,34.25,32.8,34.16,39673957.0,0.0,34.161987,TestStrategy,87,730245.9999999999,Broker,87,1021.8999999999996,1021.8999999999996,BuySell,87,,34.763749999999995,Trades - Net Profit/Loss,87,,-20.0
88,backtest-ma-orcl-1995-2014,88,2000-05-08 23:59:59.999989,33.49,33.8,32.05,32.16,41066676.0,0.0,32.160625,TestStrategy,88,730248.9999999999,Broker,88,686.9999999999995,1008.5999999999995,BuySell,88,31.569249999999997,,Trades - Net Profit/Loss,88,,
